ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205159_at	9.17e-01	8.13e-01	0.2376848	-6.55973	0.03328869	CSF2RB	colony stimulating factor 2 receptor beta common subunit
208314_at	9.17e-01	8.13e-01	-0.2375486	-6.55976	-0.02884504	RRH	retinal pigment epithelium-derived rhodopsin homolog
218182_s_at	9.17e-01	8.13e-01	0.2375292	-6.55976	0.03668203	CLDN1	claudin 1
213584_s_at	9.17e-01	8.13e-01	0.2374086	-6.55979	0.03506541	CREBZF	CREB/ATF bZIP transcription factor
209408_at	9.17e-01	8.13e-01	-0.2373385	-6.55981	-0.02227769	KIF2C	kinesin family member 2C
203875_at	9.17e-01	8.13e-01	0.2372859	-6.55982	0.03680376	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1
221770_at	9.17e-01	8.13e-01	0.2372603	-6.55983	0.03771982	RPE	ribulose-5-phosphate-3-epimerase
212247_at	9.17e-01	8.13e-01	0.2372242	-6.55983	0.03534387	NUP205	nucleoporin 205
220409_at	9.17e-01	8.13e-01	0.2372002	-6.55984	0.04324756	CAMSAP1	calmodulin regulated spectrin associated protein 1
208989_s_at	9.17e-01	8.13e-01	-0.2368175	-6.55993	-0.03623551	KDM2A	lysine demethylase 2A
204305_at	9.18e-01	8.13e-01	0.2366772	-6.55996	0.04021649	MIPEP	mitochondrial intermediate peptidase
201256_at	9.18e-01	8.14e-01	-0.2364827	-6.56001	-0.03919063	COX7A2L	cytochrome c oxidase subunit 7A2 like
205371_s_at	9.18e-01	8.14e-01	0.2364791	-6.56001	0.04716559	DBT	dihydrolipoamide branched chain transacylase E2
213304_at	9.18e-01	8.14e-01	-0.2362846	-6.56005	-0.02608674	FAM179B	family with sequence similarity 179 member B
206506_s_at	9.18e-01	8.14e-01	0.2362098	-6.56007	0.04132687	SUPT3H	SPT3 homolog, SAGA and STAGA complex component
208653_s_at	9.18e-01	8.14e-01	-0.2361387	-6.56009	-0.05645507	CD164	CD164 molecule
213505_s_at	9.18e-01	8.14e-01	-0.2360909	-6.5601	-0.04507227	SUGP2	SURP and G-patch domain containing 2
213116_at	9.18e-01	8.14e-01	-0.236074	-6.5601	-0.04110998	NEK3	NIMA related kinase 3
208773_s_at	9.18e-01	8.14e-01	0.2360628	-6.56011	0.0341929	ANKHD1-EIF4EBP3///ANKHD1	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1
211617_at	9.18e-01	8.14e-01	0.2360134	-6.56012	0.02867397	ALDOAP2	aldolase, fructose-bisphosphate A pseudogene 2
215511_at	9.18e-01	8.14e-01	-0.235994	-6.56012	-0.024998	TCF20	transcription factor 20
209002_s_at	9.18e-01	8.14e-01	0.2359339	-6.56014	0.03079686	CALCOCO1	calcium binding and coiled-coil domain 1
215606_s_at	9.18e-01	8.14e-01	0.2359084	-6.56014	0.02926921	ERC1	ELKS/RAB6-interacting/CAST family member 1
219429_at	9.18e-01	8.14e-01	-0.2358095	-6.56017	-0.0305276	FA2H	fatty acid 2-hydroxylase
200725_x_at	9.18e-01	8.14e-01	0.2357175	-6.56019	0.04316556	SNORA70///RPL10	small nucleolar RNA, H/ACA box 70///ribosomal protein L10
202425_x_at	9.18e-01	8.15e-01	-0.2352175	-6.5603	-0.02468939	PPP3CA	protein phosphatase 3 catalytic subunit alpha
217101_at	9.18e-01	8.15e-01	0.2351743	-6.56031	0.03894917	TTC39A	tetratricopeptide repeat domain 39A
212081_x_at	9.18e-01	8.15e-01	0.2350475	-6.56034	0.03383563	PRRC2A	proline rich coiled-coil 2A
206025_s_at	9.18e-01	8.15e-01	0.2349899	-6.56036	0.06075648	TNFAIP6	TNF alpha induced protein 6
219853_at	9.18e-01	8.15e-01	0.2349826	-6.56036	0.02712999	FKRP	fukutin related protein
205589_at	9.18e-01	8.15e-01	0.2349625	-6.56036	0.03708436	MYL3	myosin light chain 3
214167_s_at	9.18e-01	8.15e-01	-0.2347818	-6.56041	-0.05864203	RPLP0	ribosomal protein lateral stalk subunit P0
204573_at	9.18e-01	8.15e-01	-0.2347266	-6.56042	-0.03277228	CROT	carnitine O-octanoyltransferase
217498_at	9.18e-01	8.15e-01	0.2347104	-6.56042	0.04781788	GDF11	growth differentiation factor 11
202241_at	9.18e-01	8.15e-01	0.2346867	-6.56043	0.06012492	TRIB1	tribbles pseudokinase 1
215972_at	9.18e-01	8.15e-01	0.2346684	-6.56043	0.03776334	PART1	prostate androgen-regulated transcript 1 (non-protein coding)
220921_at	9.18e-01	8.15e-01	0.234576	-6.56045	0.04129289	SPANXB1	SPANX family member B1
208013_s_at	9.18e-01	8.15e-01	-0.2345604	-6.56046	-0.02813132	ACRV1	acrosomal vesicle protein 1
218734_at	9.18e-01	8.15e-01	-0.2345487	-6.56046	-0.02949374	NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit
213547_at	9.18e-01	8.15e-01	0.234465	-6.56048	0.05138982	CAND2	cullin associated and neddylation dissociated 2 (putative)
201137_s_at	9.18e-01	8.15e-01	-0.2344411	-6.56048	-0.03980903	HLA-DPB1	major histocompatibility complex, class II, DP beta 1
220999_s_at	9.18e-01	8.15e-01	-0.2344406	-6.56048	-0.03312383	CYFIP2	cytoplasmic FMR1 interacting protein 2
200700_s_at	9.18e-01	8.15e-01	-0.2343985	-6.56049	-0.03478226	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2
211731_x_at	9.18e-01	8.15e-01	0.2343034	-6.56052	0.04902017	SSX3	SSX family member 3
218339_at	9.18e-01	8.15e-01	0.2342284	-6.56053	0.04303098	MRPL22	mitochondrial ribosomal protein L22
221557_s_at	9.18e-01	8.15e-01	-0.234115	-6.56056	-0.0390182	LEF1	lymphoid enhancer binding factor 1
200607_s_at	9.18e-01	8.16e-01	0.2339818	-6.56059	0.03643339	RAD21	RAD21 cohesin complex component
201869_s_at	9.18e-01	8.16e-01	0.2338497	-6.56062	0.02917497	TBL1X	transducin (beta)-like 1X-linked
217429_at	9.18e-01	8.16e-01	0.233627	-6.56067	0.03789885		
214198_s_at	9.18e-01	8.16e-01	-0.2335859	-6.56068	-0.03386932	DGCR2	DiGeorge syndrome critical region gene 2
200796_s_at	9.19e-01	8.16e-01	0.2334465	-6.56072	0.03077686	MCL1	BCL2 family apoptosis regulator
214264_s_at	9.19e-01	8.16e-01	0.2334063	-6.56072	0.03766636	EFCAB11	EF-hand calcium binding domain 11
217668_at	9.19e-01	8.16e-01	-0.2332847	-6.56075	-0.04118595	LRRC75B	leucine rich repeat containing 75B
206251_s_at	9.19e-01	8.16e-01	-0.2330893	-6.5608	-0.03849798	AVPR1A	arginine vasopressin receptor 1A
206224_at	9.19e-01	8.16e-01	0.2330676	-6.5608	0.04154826	CST1	cystatin SN
37802_r_at	9.19e-01	8.16e-01	0.233005	-6.56082	0.05296389	FAM63B	family with sequence similarity 63 member B
219329_s_at	9.19e-01	8.16e-01	-0.2327871	-6.56087	-0.05827073	ATRAID	all-trans retinoic acid induced differentiation factor
201300_s_at	9.19e-01	8.16e-01	-0.2327325	-6.56088	-0.03827286	PRNP	prion protein
201254_x_at	9.19e-01	8.17e-01	-0.2326765	-6.56089	-0.03035681	RPS6	ribosomal protein S6
218119_at	9.19e-01	8.17e-01	0.2326073	-6.56091	0.03080526	TIMM23B///TIMM23	translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23
209684_at	9.19e-01	8.17e-01	-0.2325213	-6.56093	-0.04431747	RIN2	Ras and Rab interactor 2
209150_s_at	9.19e-01	8.17e-01	-0.2322171	-6.561	-0.03071896	IPO4///TM9SF1	importin 4///transmembrane 9 superfamily member 1
220077_at	9.19e-01	8.17e-01	0.2321574	-6.56101	0.02467222	CCDC134	coiled-coil domain containing 134
219396_s_at	9.19e-01	8.17e-01	0.2319883	-6.56105	0.03107897	MIR631///NEIL1	microRNA 631///nei like DNA glycosylase 1
217923_at	9.19e-01	8.17e-01	0.2318829	-6.56108	0.03713532	PEF1	penta-EF-hand domain containing 1
202038_at	9.19e-01	8.17e-01	-0.2318683	-6.56108	-0.05622091	UBE4A	ubiquitination factor E4A
214770_at	9.19e-01	8.17e-01	-0.2317979	-6.5611	-0.04001507	MSR1	macrophage scavenger receptor 1
217895_at	9.19e-01	8.17e-01	0.2316566	-6.56113	0.05574249	PTCD3	pentatricopeptide repeat domain 3
201682_at	9.19e-01	8.17e-01	-0.2314654	-6.56117	-0.0369704	PMPCB	peptidase, mitochondrial processing beta subunit
215786_at	9.19e-01	8.18e-01	0.2314172	-6.56118	0.03189521		
206274_s_at	9.20e-01	8.18e-01	-0.2311258	-6.56125	-0.0406602	CROCC	ciliary rootlet coiled-coil, rootletin
210612_s_at	9.20e-01	8.18e-01	-0.2310783	-6.56126	-0.03308242	SYNJ2	synaptojanin 2
216200_at	9.20e-01	8.18e-01	-0.230963	-6.56129	-0.04779077	PLEKHM1	pleckstrin homology and RUN domain containing M1
206529_x_at	9.20e-01	8.18e-01	-0.2308673	-6.56131	-0.05271837	SLC26A4	solute carrier family 26 member 4
206808_at	9.20e-01	8.18e-01	0.2308059	-6.56132	0.04013542	HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
212749_s_at	9.20e-01	8.18e-01	-0.2307394	-6.56134	-0.03923436	RCHY1	ring finger and CHY zinc finger domain containing 1
221299_at	9.20e-01	8.18e-01	0.2306806	-6.56135	0.04886706	GPR173	G protein-coupled receptor 173
219098_at	9.20e-01	8.18e-01	0.2305725	-6.56138	0.04785792	MYBBP1A	MYB binding protein 1a
215500_at	9.20e-01	8.18e-01	-0.2305581	-6.56138	-0.04648969	SNX29	sorting nexin 29
213995_at	9.20e-01	8.18e-01	-0.2302055	-6.56146	-0.06080881	ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)
221601_s_at	9.20e-01	8.18e-01	-0.2301805	-6.56147	-0.0236381	FCMR	Fc fragment of IgM receptor
221027_s_at	9.20e-01	8.18e-01	0.2301286	-6.56148	0.03405311	PLA2G12A	phospholipase A2 group XIIA
210236_at	9.20e-01	8.19e-01	-0.2300937	-6.56149	-0.03165272	PPFIA1	PTPRF interacting protein alpha 1
202064_s_at	9.20e-01	8.19e-01	-0.2300376	-6.5615	-0.0314521	SEL1L	SEL1L ERAD E3 ligase adaptor subunit
204640_s_at	9.20e-01	8.19e-01	0.2300172	-6.5615	0.03241344	SPOP	speckle type BTB/POZ protein
206715_at	9.20e-01	8.19e-01	-0.2298464	-6.56154	-0.03759958	TFEC	transcription factor EC
205212_s_at	9.20e-01	8.19e-01	0.2298437	-6.56154	0.05145279	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
210131_x_at	9.20e-01	8.19e-01	0.2298233	-6.56155	0.02901798	SDHC	succinate dehydrogenase complex subunit C
219608_s_at	9.20e-01	8.19e-01	-0.2297757	-6.56156	-0.03837581	FBXO38	F-box protein 38
221930_at	9.20e-01	8.19e-01	-0.2297264	-6.56157	-0.04247991	PHF7	PHD finger protein 7
36553_at	9.20e-01	8.19e-01	-0.2297077	-6.56157	-0.03691274	ASMTL	acetylserotonin O-methyltransferase-like
211386_at	9.20e-01	8.19e-01	0.2296023	-6.5616	0.05757827	MGC12488	uncharacterized protein MGC12488
219951_s_at	9.20e-01	8.19e-01	-0.2295889	-6.5616	-0.03379143	DZANK1	double zinc ribbon and ankyrin repeat domains 1
208657_s_at	9.20e-01	8.19e-01	-0.2294755	-6.56163	-0.03303881	SEPT9	septin 9
206435_at	9.20e-01	8.19e-01	-0.2294266	-6.56164	-0.03746028	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1
205174_s_at	9.20e-01	8.19e-01	0.2293671	-6.56165	0.05391433	QPCT	glutaminyl-peptide cyclotransferase
212576_at	9.20e-01	8.19e-01	-0.2291872	-6.56169	-0.05542819	MGRN1	mahogunin ring finger 1
208046_at	9.20e-01	8.19e-01	0.2291851	-6.56169	0.03779266	HIST1H4A	histone cluster 1, H4a
48580_at	9.20e-01	8.19e-01	-0.2290814	-6.56172	-0.03604295	CXXC1	CXXC finger protein 1
214515_at	9.20e-01	8.19e-01	0.2289312	-6.56175	0.05387285	OR1E1	olfactory receptor family 1 subfamily E member 1
202203_s_at	9.20e-01	8.19e-01	0.2289058	-6.56176	0.03386635	AMFR	autocrine motility factor receptor
211237_s_at	9.20e-01	8.20e-01	-0.2288217	-6.56177	-0.03970094	FGFR4	fibroblast growth factor receptor 4
208166_at	9.20e-01	8.20e-01	0.2287875	-6.56178	0.04158184	MMP16	matrix metallopeptidase 16
203087_s_at	9.20e-01	8.20e-01	0.2286773	-6.56181	0.03284837	KIF2A	kinesin family member 2A
217629_at	9.20e-01	8.20e-01	0.2286238	-6.56182	0.03992116		
201072_s_at	9.20e-01	8.20e-01	0.2285799	-6.56183	0.04805989	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
203566_s_at	9.20e-01	8.20e-01	-0.2285251	-6.56184	-0.03676336	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
204539_s_at	9.20e-01	8.20e-01	0.2284407	-6.56186	0.05254754	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1
221746_at	9.20e-01	8.20e-01	-0.2283304	-6.56189	-0.04420861	UBL4A	ubiquitin like 4A
204680_s_at	9.20e-01	8.20e-01	0.228269	-6.5619	0.03463804	RAPGEF5	Rap guanine nucleotide exchange factor 5
214207_s_at	9.20e-01	8.20e-01	-0.2281231	-6.56193	-0.03814698	CARD10	caspase recruitment domain family member 10
216344_at	9.20e-01	8.20e-01	0.2281096	-6.56194	0.04567986	NPHP4	nephronophthisis 4
204612_at	9.20e-01	8.20e-01	0.2279129	-6.56198	0.04871909	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
211137_s_at	9.20e-01	8.20e-01	-0.2279006	-6.56198	-0.03055555	ATP2C1	ATPase secretory pathway Ca2+ transporting 1
208021_s_at	9.20e-01	8.20e-01	-0.2278736	-6.56199	-0.05718668	RFC1	replication factor C subunit 1
210837_s_at	9.21e-01	8.20e-01	-0.2276769	-6.56203	-0.03026997	PDE4D	phosphodiesterase 4D
215362_at	9.21e-01	8.21e-01	-0.2275281	-6.56207	-0.03381717		
214631_at	9.21e-01	8.21e-01	0.2273735	-6.5621	0.05031291	ZBTB33	zinc finger and BTB domain containing 33
221582_at	9.21e-01	8.21e-01	-0.2273591	-6.56211	-0.03451493	HIST3H2A	histone cluster 3, H2a
207850_at	9.21e-01	8.21e-01	-0.2272757	-6.56212	-0.03787992	CXCL3	C-X-C motif chemokine ligand 3
212799_at	9.21e-01	8.21e-01	-0.227255	-6.56213	-0.02511318	STX6	syntaxin 6
203284_s_at	9.21e-01	8.21e-01	0.2272359	-6.56213	0.04437374	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
209269_s_at	9.21e-01	8.21e-01	-0.2271456	-6.56215	-0.03244122	SYK	spleen associated tyrosine kinase
207632_at	9.21e-01	8.21e-01	0.2271134	-6.56216	0.04010944	MUSK	muscle associated receptor tyrosine kinase
205196_s_at	9.21e-01	8.21e-01	0.227052	-6.56217	0.0437655	AP1S1	adaptor related protein complex 1 sigma 1 subunit
206642_at	9.21e-01	8.21e-01	0.2270054	-6.56219	0.0348971	DSG1	desmoglein 1
220254_at	9.21e-01	8.21e-01	-0.2269286	-6.5622	-0.0514907	LRP12	LDL receptor related protein 12
211280_s_at	9.21e-01	8.21e-01	-0.2266191	-6.56227	-0.04620836	NRF1	nuclear respiratory factor 1
211880_x_at	9.21e-01	8.21e-01	-0.2263832	-6.56233	-0.02932542	PCDHGA1	protocadherin gamma subfamily A, 1
214868_at	9.21e-01	8.21e-01	0.2263127	-6.56234	0.04549571	PIWIL1	piwi like RNA-mediated gene silencing 1
200894_s_at	9.21e-01	8.22e-01	0.2260884	-6.56239	0.03666611	FKBP4	FK506 binding protein 4
214871_x_at	9.21e-01	8.22e-01	0.2260228	-6.56241	0.03323928	LOC100287590	uncharacterized LOC100287590
221749_at	9.21e-01	8.22e-01	-0.2259578	-6.56242	-0.02582026	YTHDF3	YTH N6-methyladenosine RNA binding protein 3
219605_at	9.21e-01	8.22e-01	0.2259327	-6.56243	0.03408562	ZNF3	zinc finger protein 3
215653_at	9.21e-01	8.22e-01	0.2259308	-6.56243	0.05664347		
219217_at	9.21e-01	8.22e-01	0.2258103	-6.56245	0.02698491	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial (putative)
206606_at	9.21e-01	8.22e-01	0.2256238	-6.5625	0.0310705	LIPC	lipase C, hepatic type
212710_at	9.21e-01	8.22e-01	-0.2254048	-6.56254	-0.02851111	CAMSAP1	calmodulin regulated spectrin associated protein 1
213222_at	9.21e-01	8.22e-01	0.2253914	-6.56255	0.03159634	PLCB1	phospholipase C beta 1
201043_s_at	9.22e-01	8.22e-01	0.2251879	-6.56259	0.04347034	ANP32A	acidic nuclear phosphoprotein 32 family member A
210392_x_at	9.22e-01	8.22e-01	-0.2251645	-6.5626	-0.03017699	NR6A1	nuclear receptor subfamily 6 group A member 1
209260_at	9.22e-01	8.22e-01	0.2250715	-6.56262	0.03685471	SFN	stratifin
201266_at	9.22e-01	8.22e-01	0.2250588	-6.56262	0.03017422	TXNRD1	thioredoxin reductase 1
208955_at	9.22e-01	8.22e-01	0.2250188	-6.56263	0.02482674	DUT	deoxyuridine triphosphatase
200597_at	9.22e-01	8.23e-01	-0.224931	-6.56265	-0.03101321	EIF3A	eukaryotic translation initiation factor 3 subunit A
203185_at	9.22e-01	8.23e-01	0.2248959	-6.56266	0.02469086	RASSF2	Ras association domain family member 2
201912_s_at	9.22e-01	8.23e-01	0.2248642	-6.56266	0.03789404	GSPT1	G1 to S phase transition 1
209802_at	9.22e-01	8.23e-01	-0.2247247	-6.5627	-0.03880173	PHLDA2	pleckstrin homology like domain family A member 2
216153_x_at	9.22e-01	8.23e-01	0.2245874	-6.56273	0.03947071	RECK	reversion inducing cysteine rich protein with kazal motifs
217501_at	9.22e-01	8.23e-01	-0.2244297	-6.56276	-0.03790205	CIAO1	cytosolic iron-sulfur assembly component 1
211530_x_at	9.22e-01	8.23e-01	-0.2244136	-6.56277	-0.03611531	HLA-G	major histocompatibility complex, class I, G
205964_at	9.22e-01	8.23e-01	0.2244053	-6.56277	0.0361134	ZNF426	zinc finger protein 426
217256_x_at	9.22e-01	8.23e-01	-0.2242575	-6.5628	-0.03226852		
219080_s_at	9.22e-01	8.23e-01	-0.2242425	-6.5628	-0.02889017	CTPS2	CTP synthase 2
218443_s_at	9.22e-01	8.23e-01	0.2240651	-6.56284	0.03991585	DAZAP1	DAZ associated protein 1
213376_at	9.22e-01	8.23e-01	-0.2239905	-6.56286	-0.04143995	ZBTB1	zinc finger and BTB domain containing 1
207084_at	9.22e-01	8.23e-01	-0.2239791	-6.56286	-0.04281586	POU3F2	POU class 3 homeobox 2
211563_s_at	9.22e-01	8.23e-01	0.2239431	-6.56287	0.04679117	URI1	URI1, prefoldin like chaperone
216729_at	9.22e-01	8.23e-01	0.2237587	-6.56291	0.03069775		
218259_at	9.22e-01	8.23e-01	-0.2237235	-6.56292	-0.02778445	MKL2	MKL1/myocardin like 2
205038_at	9.22e-01	8.24e-01	0.2235585	-6.56296	0.05238408	IKZF1	IKAROS family zinc finger 1
213179_at	9.22e-01	8.24e-01	0.2234764	-6.56297	0.02481887	CNOT9	CCR4-NOT transcription complex subunit 9
216865_at	9.22e-01	8.24e-01	-0.2234172	-6.56299	-0.03940251	COL14A1	collagen type XIV alpha 1 chain
213768_s_at	9.22e-01	8.24e-01	0.2232945	-6.56301	0.04172402	ASCL1	achaete-scute family bHLH transcription factor 1
214432_at	9.22e-01	8.24e-01	-0.2230474	-6.56307	-0.04414552	LOC101927137///ATP1A3	uncharacterized LOC101927137///ATPase Na+/K+ transporting subunit alpha 3
205334_at	9.22e-01	8.24e-01	-0.2229962	-6.56308	-0.04494599	S100A1	S100 calcium binding protein A1
220833_at	9.22e-01	8.24e-01	0.2229845	-6.56308	0.03958796		
218775_s_at	9.22e-01	8.24e-01	-0.2229641	-6.56309	-0.05710858	WWC2///CLDN22	WW and C2 domain containing 2///claudin 22
201483_s_at	9.22e-01	8.24e-01	0.2229171	-6.5631	0.0299002	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit
204156_at	9.22e-01	8.24e-01	-0.222608	-6.56317	-0.03603274	SIK3	SIK family kinase 3
205686_s_at	9.22e-01	8.24e-01	-0.2225362	-6.56318	-0.04947075	CD86	CD86 molecule
213251_at	9.22e-01	8.24e-01	-0.2224876	-6.56319	-0.03247086	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
211851_x_at	9.22e-01	8.24e-01	0.2224835	-6.56319	0.04440787	BRCA1	BRCA1, DNA repair associated
211881_x_at	9.22e-01	8.25e-01	0.2223519	-6.56322	0.04575351	IGLJ3	immunoglobulin lambda joining 3
220402_at	9.22e-01	8.25e-01	-0.2222926	-6.56323	-0.03443018	TP53AIP1	tumor protein p53 regulated apoptosis inducing protein 1
218863_s_at	9.23e-01	8.25e-01	-0.2221322	-6.56327	-0.02821848	TNS1	tensin 1
203428_s_at	9.23e-01	8.25e-01	0.2220622	-6.56329	0.03000155	ASF1A	anti-silencing function 1A histone chaperone
220793_at	9.23e-01	8.25e-01	-0.2220511	-6.56329	-0.03409128	SAGE1	sarcoma antigen 1
214893_x_at	9.23e-01	8.25e-01	0.2217923	-6.56335	0.0464167	HCN2	hyperpolarization activated cyclic nucleotide gated potassium channel 2
215585_at	9.23e-01	8.25e-01	0.2214975	-6.56341	0.04528792		
212261_at	9.23e-01	8.25e-01	0.2213886	-6.56343	0.02360599	GIGYF2	GRB10 interacting GYF protein 2
216752_at	9.23e-01	8.25e-01	-0.2213551	-6.56344	-0.06588191	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4
203478_at	9.23e-01	8.25e-01	0.221348	-6.56344	0.02317051	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1
209507_at	9.23e-01	8.25e-01	-0.2213059	-6.56345	-0.03266124	RPA3	replication protein A3
218435_at	9.23e-01	8.25e-01	0.2212949	-6.56345	0.06900828	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15
204571_x_at	9.23e-01	8.26e-01	-0.2209365	-6.56353	-0.02448221	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4
205561_at	9.23e-01	8.26e-01	0.220925	-6.56354	0.02909295	KCTD17	potassium channel tetramerization domain containing 17
202571_s_at	9.23e-01	8.26e-01	0.2207391	-6.56358	0.02845767	DLGAP4	DLG associated protein 4
213581_at	9.23e-01	8.26e-01	-0.2207254	-6.56358	-0.04089028	PDCD2	programmed cell death 2
202476_s_at	9.23e-01	8.26e-01	0.2205293	-6.56362	0.04087279	TUBGCP2	tubulin gamma complex associated protein 2
218100_s_at	9.23e-01	8.26e-01	0.2203179	-6.56367	0.03254913	IFT57	intraflagellar transport 57
212538_at	9.23e-01	8.26e-01	0.2202371	-6.56369	0.04590251	DOCK9	dedicator of cytokinesis 9
210063_at	9.23e-01	8.26e-01	-0.22017	-6.5637	-0.05360507	SARDH	sarcosine dehydrogenase
218079_s_at	9.24e-01	8.26e-01	-0.2200227	-6.56373	-0.03923576	GGNBP2	gametogenetin binding protein 2
207954_at	9.24e-01	8.26e-01	0.2200081	-6.56374	0.02616496	GATA2	GATA binding protein 2
213734_at	9.24e-01	8.26e-01	0.2198442	-6.56377	0.05341064	RFC5	replication factor C subunit 5
217257_at	9.24e-01	8.26e-01	0.2198351	-6.56377	0.04240707	SH3BP2	SH3 domain binding protein 2
208873_s_at	9.24e-01	8.27e-01	0.2197216	-6.5638	0.02856103	REEP5	receptor accessory protein 5
211647_x_at	9.24e-01	8.27e-01	-0.2196701	-6.56381	-0.0611083	IGHM///IGHG1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)
204478_s_at	9.24e-01	8.27e-01	0.219596	-6.56383	0.02443942	RABIF	RAB interacting factor
208118_x_at	9.24e-01	8.27e-01	0.2195818	-6.56383	0.05137769	LOC101060604///SMG1P3///SLC7A5P2///SLC7A5P1	putative L-type amino acid transporter 1-like protein IMAA///SMG1P3, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 3///solute carrier family 7 member 5 pseudogene 2///solute carrier family 7 member 5 pseudogene 1
214034_at	9.24e-01	8.27e-01	0.2194027	-6.56387	0.03260158	ERAP1	endoplasmic reticulum aminopeptidase 1
200651_at	9.24e-01	8.27e-01	-0.2193292	-6.56388	-0.05589357	SNORD96A///SNORD95///RACK1	small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1
212606_at	9.24e-01	8.27e-01	0.2192583	-6.5639	0.04351379	WDFY3	WD repeat and FYVE domain containing 3
220599_s_at	9.24e-01	8.27e-01	0.2191561	-6.56392	0.02719589	CARD14	caspase recruitment domain family member 14
212827_at	9.24e-01	8.27e-01	0.2190191	-6.56395	0.04113472	IGHM	immunoglobulin heavy constant mu
37254_at	9.24e-01	8.27e-01	0.2188397	-6.56399	0.02343836	ZNF133	zinc finger protein 133
220240_s_at	9.24e-01	8.27e-01	0.218831	-6.56399	0.04632351	TMCO3	transmembrane and coiled-coil domains 3
219100_at	9.24e-01	8.27e-01	0.2187871	-6.564	0.03941525	OBFC1	oligonucleotide/oligosaccharide binding fold containing 1
207369_at	9.24e-01	8.27e-01	-0.2187075	-6.56402	-0.02953511	BRS3	bombesin receptor subtype 3
210828_s_at	9.24e-01	8.27e-01	-0.2187055	-6.56402	-0.03027326	ARNT	aryl hydrocarbon receptor nuclear translocator
205963_s_at	9.24e-01	8.27e-01	-0.2187037	-6.56402	-0.03604602	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3
205842_s_at	9.24e-01	8.27e-01	-0.2187034	-6.56402	-0.03900617	JAK2	Janus kinase 2
204775_at	9.24e-01	8.27e-01	0.2185639	-6.56405	0.025373	CHAF1B	chromatin assembly factor 1 subunit B
218223_s_at	9.24e-01	8.27e-01	-0.218533	-6.56406	-0.02819623	PLEKHO1	pleckstrin homology domain containing O1
211319_at	9.24e-01	8.28e-01	0.2182366	-6.56412	0.02392559	RAE1	ribonucleic acid export 1
222196_at	9.24e-01	8.28e-01	-0.2180677	-6.56416	-0.0527079	LOC389906	zinc finger protein 839 pseudogene
219145_at	9.24e-01	8.28e-01	-0.2179439	-6.56418	-0.03655435	ADGRL1	adhesion G protein-coupled receptor L1
215683_at	9.24e-01	8.28e-01	-0.2178205	-6.56421	-0.04307191	RBFADN	RBFA downstream neighbor (non-protein coding)
210576_at	9.24e-01	8.28e-01	0.2176016	-6.56426	0.03229083	CYP4F8	cytochrome P450 family 4 subfamily F member 8
208553_at	9.24e-01	8.28e-01	-0.2175111	-6.56428	-0.03417152	HIST1H1E	histone cluster 1, H1e
221724_s_at	9.24e-01	8.28e-01	0.2174393	-6.56429	0.03088104	CLEC4A	C-type lectin domain family 4 member A
205094_at	9.24e-01	8.28e-01	-0.2173993	-6.5643	-0.03469783	PEX12	peroxisomal biogenesis factor 12
207661_s_at	9.24e-01	8.28e-01	0.2173657	-6.56431	0.04094913	SH3PXD2A	SH3 and PX domains 2A
206250_x_at	9.24e-01	8.28e-01	-0.217278	-6.56433	-0.04804915	AVPR1A	arginine vasopressin receptor 1A
216058_s_at	9.24e-01	8.28e-01	-0.2172546	-6.56433	-0.03950292	CYP2C19	cytochrome P450 family 2 subfamily C member 19
217902_s_at	9.25e-01	8.29e-01	-0.2171637	-6.56435	-0.03566505	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2
